# step,loss
0.000000,2.302585
1.000000,2.302585
2.000000,2.302585
3.000000,2.302585
4.000000,2.302585
5.000000,2.302585
6.000000,2.302585
7.000000,2.302585
8.000000,2.302585
9.000000,2.302585
10.000000,2.302585
11.000000,2.302585
12.000000,2.302585
13.000000,2.302585
14.000000,2.302585
15.000000,2.302585
16.000000,2.302585
17.000000,2.302585
18.000000,2.302585
19.000000,2.302585
20.000000,2.302585
21.000000,2.302585
22.000000,2.302585
23.000000,2.302585
24.000000,2.302585
25.000000,2.302585
26.000000,2.302585
27.000000,2.302585
28.000000,2.302585
29.000000,2.302585
30.000000,2.302585
31.000000,2.302585
32.000000,2.302585
33.000000,2.302585
34.000000,2.302585
35.000000,2.302585
36.000000,2.302585
37.000000,2.302585
38.000000,2.302585
39.000000,2.302585
40.000000,2.302585
41.000000,2.302585
42.000000,2.302585
43.000000,2.302585
44.000000,2.302585
45.000000,2.302585
46.000000,2.302585
47.000000,2.302585
48.000000,2.302585
49.000000,2.302585
50.000000,2.302585
51.000000,2.302585
52.000000,2.302585
53.000000,2.302585
54.000000,2.302585
55.000000,2.302585
56.000000,2.302585
57.000000,2.302585
58.000000,2.302585
59.000000,2.302585
60.000000,2.302585
61.000000,2.302585
62.000000,2.302585
63.000000,2.302585
64.000000,2.302585
65.000000,2.302585
66.000000,2.302585
67.000000,2.302585
68.000000,2.302585
69.000000,2.302585
70.000000,2.302585
71.000000,2.302585
72.000000,2.302585
73.000000,2.302585
74.000000,2.302585
75.000000,2.302585
76.000000,2.302585
77.000000,2.302585
78.000000,2.302585
79.000000,2.302585
80.000000,2.302585
81.000000,2.302585
82.000000,2.302585
83.000000,2.302585
84.000000,2.302585
85.000000,2.302585
86.000000,2.302585
87.000000,2.302585
88.000000,2.302585
89.000000,2.302585
90.000000,2.302585
91.000000,2.302585
92.000000,2.302585
93.000000,2.302585
94.000000,2.302585
95.000000,2.302585
96.000000,2.302585
97.000000,2.302585
98.000000,2.302585
99.000000,2.302585
100.000000,2.302585
101.000000,2.302585
102.000000,2.302585
103.000000,2.302585
104.000000,2.302585
105.000000,2.302585
106.000000,2.302585
107.000000,2.302585
108.000000,2.302585
109.000000,2.302585
110.000000,2.302585
111.000000,2.302585
112.000000,2.302585
113.000000,2.302585
114.000000,2.302585
115.000000,2.302585
116.000000,2.302585
117.000000,2.302585
118.000000,2.302585
119.000000,2.302585
120.000000,2.302585
121.000000,2.302585
122.000000,2.302585
123.000000,2.302585
124.000000,2.302585
125.000000,2.302585
126.000000,2.302585
127.000000,2.302585
128.000000,2.302585
129.000000,2.302585
130.000000,2.302585
131.000000,2.302585
132.000000,2.302585
133.000000,2.302585
134.000000,2.302585
135.000000,2.302585
136.000000,2.302585
137.000000,2.302585
138.000000,2.302585
139.000000,2.302585
140.000000,2.302585
141.000000,2.302585
142.000000,2.302585
143.000000,2.302585
144.000000,2.302585
145.000000,2.302585
146.000000,2.302585
147.000000,2.302585
148.000000,2.302585
149.000000,2.302585
150.000000,2.302585
151.000000,2.302585
152.000000,2.302585
153.000000,2.302585
154.000000,2.302585
155.000000,2.302585
156.000000,2.302585
157.000000,2.302585
158.000000,2.302585
159.000000,2.302585
160.000000,2.302585
161.000000,2.302585
162.000000,2.302585
163.000000,2.302585
164.000000,2.302585
165.000000,2.302585
166.000000,2.302585
167.000000,2.302585
168.000000,2.302585
169.000000,2.302585
170.000000,2.302585
171.000000,2.302585
172.000000,2.302585
173.000000,2.302585
174.000000,2.302585
175.000000,2.302585
176.000000,2.302585
177.000000,2.302585
178.000000,2.302585
179.000000,2.302585
180.000000,2.302585
